CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
30,100170110202500001,202500001,2025-06-16,2926,110,1,2,4,26,6,21,2025-06-10 13:36:43,2025-06-10 18:19:43,2025-06-11 16:54:43,17.30462,76.814024,Complainant reported an offence involving a minor near Kaul Zila.
31,100100069202600001,202600001,2026-04-18,1353,69,1,1,8,48,2,121,2026-04-13 12:47:37,2026-04-13 14:54:37,2026-04-13 16:58:37,14.254798,76.408762,Police recovered narcotic substances from the accused during a check near Rai Zila.
32,100030020202600001,202600001,2026-05-30,153,20,1,2,13,67,3,45,2026-05-22 15:48:18,2026-05-22 18:37:18,2026-05-22 20:58:18,15.859547,74.455181,Police seized illegal liquor from the accused near Setty Road.
33,300120083202600001,202600001,2026-10-06,790,83,2,1,14,71,1,29,2026-10-05 12:36:38,2026-10-05 13:35:38,2026-10-06 16:34:38,14.500944,75.931494,Case registered against the accused for a traffic-related violation near Gaba Path.
34,100100066202200001,202200001,2022-05-10,576,66,1,2,12,65,2,123,2022-05-03 17:54:40,2022-05-04 01:38:40,2022-05-04 04:50:40,14.240952,76.41553,Complainant reported an incident related to offences against public servants near Pant Path.
35,100090064202500001,202500001,2025-12-10,2882,64,1,1,4,24,2,80,2025-12-09 17:23:44,2025-12-09 19:28:44,2025-12-09 20:18:44,13.341001,75.750926,Complainant reported an offence involving a minor near Loke Ganj.
36,100220136202600001,202600001,2026-06-15,336,136,1,1,11,60,4,135,2026-06-10 23:35:58,2026-06-11 03:41:58,2026-06-12 05:24:58,12.349021,76.664596,Complainant reported being defrauded of money through a fraudulent scheme reported from Garg Zila.
37,100130087202200001,202200001,2022-07-17,228,87,1,2,12,64,5,117,2022-07-12 11:54:33,2022-07-12 15:45:33,2022-07-12 16:59:33,15.457643,75.030411,Complainant reported unauthorized entry into their property at Konda Circle.
38,100040027202500001,202500001,2025-04-01,1934,27,1,2,7,43,6,9,2025-03-29 12:47:13,2025-03-29 17:48:13,2025-03-29 20:52:13,13.20375,77.591309,Complainant reported being repeatedly followed and harassed by the accused near Shere Street.
39,100080057202500001,202500001,2025-12-12,732,57,1,2,3,23,6,138,2025-12-07 14:58:24,2025-12-07 18:15:24,2025-12-07 19:13:24,13.435063,77.757606,Complainant reported an incident related to acid attack near Madan Marg.
40,800120078202500001,202500001,2025-12-15,2705,78,4,2,3,22,1,108,2025-12-11 18:52:14,2025-12-11 21:03:14,2025-12-12 00:42:14,14.468722,75.951337,Complainant reported being repeatedly followed and harassed by the accused near Kanda Circle.
41,100190121202200001,202200001,2022-08-23,960,121,1,1,1,4,6,82,2022-08-23 01:02:25,2022-08-23 04:51:25,2022-08-23 05:21:25,13.169294,78.172362,Complainant reported being assaulted and sustaining injuries during an altercation near Bhalla Path.
42,100170114202600001,202600001,2026-07-07,1306,114,1,2,13,68,5,107,2026-06-29 12:37:56,2026-06-29 18:58:56,2026-06-29 22:20:56,17.310651,76.849714,Police raided premises being used for illegal gambling at Balay Ganj.
43,100120082202300001,202300001,2023-04-28,1843,82,1,2,5,32,2,95,2023-04-23 10:35:26,2023-04-23 14:13:26,2023-04-23 18:47:26,14.484729,75.926757,Complainant reported an incident related to public nuisance near Rattan Path.
44,100030019202500001,202500001,2025-01-03,3090,19,1,2,12,63,2,123,2025-01-02 11:55:58,2025-01-02 14:50:58,2025-01-02 17:18:58,15.853052,74.494104,Complainant reported being threatened by the accused near Bhatti Road.
45,100280180202300001,202300001,2023-04-15,833,180,1,1,12,63,6,95,2023-04-12 16:23:32,2023-04-12 23:59:32,2023-04-13 03:57:32,14.777848,74.689316,Complainant reported being threatened by the accused near Murty Ganj.
46,100090062202400001,202400001,2024-08-24,2002,62,1,1,1,4,4,126,2024-08-20 22:21:14,2024-08-21 01:40:14,2024-08-21 02:50:14,13.356869,75.80487,Complainant reported being assaulted and sustaining injuries during an altercation near Tata Ganj.
47,100140092202400002,202400002,2024-12-18,896,92,1,2,12,64,6,130,2024-12-12 18:53:54,2024-12-12 19:36:54,2024-12-13 03:29:54,15.456531,75.656094,Complainant reported unauthorized entry into their property at Shanker Marg.
48,100140090202400001,202400001,2024-05-01,610,90,1,1,1,8,6,62,2024-04-25 23:18:01,2024-04-26 03:40:01,2024-04-26 06:00:01,15.468219,75.635485,Complainant reported an incident related to assault near Lanka Street.
49,100050039202300001,202300001,2023-05-13,702,39,1,1,9,52,3,22,2023-05-07 15:14:19,2023-05-07 21:09:19,2023-05-07 21:42:19,12.97652,77.530971,Complainant reported an incident related to terrorism-related offences near Koshy Street.
50,100150098202600001,202600001,2026-02-17,2309,98,1,2,7,45,5,9,2026-02-10 08:55:44,2026-02-10 16:34:44,2026-02-10 21:14:44,13.0328,76.153074,Complainant reported an incident related to social media impersonation near Yohannan Circle.
51,100050037202200001,202200001,2022-10-27,2479,37,1,1,14,72,1,102,2022-10-26 14:36:15,2022-10-26 19:31:15,2022-10-26 23:31:15,12.941163,77.624846,Complainant reported victims being held in bonded labour conditions at Sangha Road.
52,100300190202400001,202400001,2024-03-18,2916,190,1,2,6,34,6,40,2024-03-12 12:37:42,2024-03-12 15:56:42,2024-03-12 19:19:42,16.761667,77.16642,Complainant reported being cheated of money through false promises near Rastogi.
53,100230146202300001,202300001,2023-05-09,1329,146,1,1,6,36,1,99,2023-05-08 09:27:28,2023-05-08 14:17:28,2023-05-09 05:25:28,16.238916,77.409299,Complainant reported forged documents being used by the accused.
54,100010002202500001,202500001,2025-12-08,316,2,1,2,7,43,1,93,2025-12-05 18:10:08,2025-12-05 20:32:08,2025-12-06 04:44:08,16.152217,75.739661,Complainant reported being repeatedly followed and harassed by the accused near Upadhyay Street.
55,100070050202200002,202200002,2022-04-13,2848,50,1,1,4,27,5,52,2022-04-09 13:21:28,2022-04-09 16:17:28,2022-04-09 17:08:28,11.94146,76.897223,Complainant reported that the victim was forcibly taken away by the accused from Chand Chowk.
56,400140093202500001,202500001,2025-06-19,3145,93,3,1,3,20,4,7,2025-06-18 01:17:52,2025-06-18 08:04:52,2025-06-19 07:24:52,15.425428,75.599434,Complainant reported facing cruelty from family members at Choudhary Nagar.
57,100300187202500001,202500001,2025-10-26,2385,187,1,1,8,47,5,103,2025-10-20 14:19:15,2025-10-20 16:33:15,2025-10-22 12:23:15,16.73007,77.15978,Police recovered narcotic substances from the accused during a check near Dutta Street.
58,100160105202300001,202300001,2023-11-18,1764,105,1,2,14,73,1,28,2023-11-13 17:15:42,2023-11-13 23:00:42,2023-11-14 20:15:42,14.757854,75.371451,Case registered against the accused for a traffic-related violation near Bhatt Marg.
59,100010002202400001,202400001,2024-07-15,352,2,1,2,5,30,1,30,2024-07-12 13:43:37,2024-07-12 19:41:37,2024-07-12 23:41:37,16.162927,75.679362,Complainant reported an incident related to unlawful assembly near Raj Marg.
60,100260163202500001,202500001,2025-07-12,1356,163,1,1,12,63,6,110,2025-07-10 15:44:28,2025-07-10 18:32:28,2025-07-10 21:16:28,13.369018,77.071559,Complainant reported being threatened by the accused near Sidhu.
61,100300187202500002,202500002,2025-05-24,2200,187,1,1,4,27,6,48,2025-05-22 17:27:24,2025-05-22 17:34:24,2025-05-22 19:13:24,16.732636,77.163812,Complainant reported that the victim was forcibly taken away by the accused from Krishnamurthy Circle.
62,100110074202400002,202400002,2024-12-11,2753,74,1,2,4,27,2,35,2024-12-06 17:37:07,2024-12-06 20:40:07,2024-12-06 21:22:07,12.874966,74.83803,Complainant reported that the victim was forcibly taken away by the accused from Apte Circle.
63,100090062202200001,202200001,2022-05-20,767,62,1,2,4,26,6,81,2022-05-11 10:31:40,2022-05-11 15:11:40,2022-05-13 15:14:40,13.353455,75.795379,Complainant reported an offence involving a minor near Yadav Zila.
64,100260166202400001,202400001,2024-03-13,3042,166,1,2,10,54,2,127,2024-03-06 16:31:26,2024-03-06 22:39:26,2024-03-07 06:27:26,13.296545,77.084971,Complainant reported an incident caused by rash or negligent driving near Oak Road.
65,100160108202600001,202600001,2026-07-13,357,108,1,2,2,10,1,113,2026-07-09 17:27:06,2026-07-09 23:48:06,2026-07-10 02:17:06,14.765459,75.35509,Complainant reported being robbed by unknown persons near Memon Zila.
66,100270169202500001,202500001,2025-11-20,2884,169,1,2,2,12,3,75,2025-11-11 04:08:50,2025-11-11 05:58:50,2025-11-12 13:10:50,13.37026,74.780066,Complainant reported that unknown persons broke into the premises at Dugar Marg and stole valuables.
67,800090058202200001,202200001,2022-12-26,2770,58,4,2,5,33,2,101,2022-12-25 14:55:41,2022-12-25 16:04:41,2022-12-25 22:36:41,13.342993,75.758249,Complainant reported an incident related to communal violence near Aggarwal Chowk.
68,100150095202200001,202200001,2022-10-25,382,95,1,2,10,56,2,118,2022-10-20 09:17:44,2022-10-20 16:51:44,2022-10-20 19:47:44,13.006236,76.13276,Complainant reported an incident caused by rash or negligent driving near Tella Road.
69,100190124202300001,202300001,2023-12-27,189,124,1,2,12,64,6,26,2023-12-19 11:53:18,2023-12-19 14:50:18,2023-12-19 19:17:18,13.138682,78.107715,Complainant reported unauthorized entry into their property at Tripathi Street.
70,100190124202200001,202200001,2022-06-14,2974,124,1,2,14,73,3,60,2022-06-12 11:19:10,2022-06-12 18:51:10,2022-06-14 14:14:10,13.112111,78.08388,Case registered against the accused for a traffic-related violation near Misra Zila.
71,100130085202200001,202200001,2022-03-22,1226,85,1,2,2,10,3,36,2022-03-21 20:21:52,2022-03-21 21:27:52,2022-03-21 21:47:52,15.462653,75.053725,Complainant reported being robbed by unknown persons near Issac Circle.
72,100110077202200001,202200001,2022-07-20,412,77,1,2,14,71,5,36,2022-07-14 18:46:13,2022-07-15 00:12:13,2022-07-17 08:28:13,12.875763,74.860619,Case registered against the accused for a traffic-related violation near Prakash Street.
73,100230148202600001,202600001,2026-04-21,773,148,1,2,10,57,1,101,2026-04-17 23:38:46,2026-04-18 04:54:46,2026-04-18 12:44:46,16.218743,77.343032,Complainant reported theft of personal property from Zacharia Street.
74,100090058202400001,202400001,2024-08-17,1074,58,1,1,1,4,3,56,2024-08-11 19:08:24,2024-08-12 02:33:24,2024-08-12 03:39:24,13.296756,75.718348,Complainant reported being assaulted and sustaining injuries during an altercation near Acharya Circle.
75,100020009202400001,202400001,2024-05-23,1339,9,1,2,1,7,4,101,2024-05-17 14:34:39,2024-05-17 15:57:39,2024-05-17 18:15:39,15.108577,76.867819,Complainant reported an incident related to abduction near Naik.
76,100170115202600001,202600001,2026-03-08,47,115,1,2,13,66,2,42,2026-03-02 09:39:38,2026-03-02 10:12:38,2026-03-02 12:42:38,17.278297,76.78673,Police recovered illegal firearms from the accused near Bahl Chowk.
77,100150097202300001,202300001,2023-05-24,2093,97,1,2,6,38,2,93,2023-05-20 12:01:21,2023-05-20 18:59:21,2023-05-20 22:22:21,12.98563,76.120208,Complainant reported an incident related to money laundering near Patil Zila.
78,100020012202200001,202200001,2022-07-24,3034,12,1,1,14,71,2,108,2022-07-23 09:00:02,2022-07-23 16:24:02,2022-07-24 20:30:02,15.102213,76.921755,Case registered against the accused for a traffic-related violation near Khatri Road.
79,300060046202600001,202600001,2026-07-02,1512,46,2,1,4,27,1,52,2026-06-30 16:51:33,2026-06-30 17:19:33,2026-06-30 18:14:33,17.948947,77.473124,Complainant reported that the victim was forcibly taken away by the accused from Khosla Nagar.
80,100090058202300001,202300001,2023-12-25,2693,58,1,1,13,68,6,97,2023-12-19 11:59:26,2023-12-19 12:16:26,2023-12-19 14:16:26,13.315442,75.717027,Police raided premises being used for illegal gambling at Brar.
81,100260167202300001,202300001,2023-06-02,1782,167,1,2,12,64,4,34,2023-05-29 10:58:14,2023-05-29 18:42:14,2023-05-30 02:11:14,13.308033,77.064032,Complainant reported unauthorized entry into their property at Sunder Zila.
82,300070047202600001,202600001,2026-04-15,851,47,2,2,5,31,1,116,2026-04-13 12:12:08,2026-04-13 18:56:08,2026-04-13 20:05:08,11.906086,76.955281,Complainant reported an incident related to affray near Walia Zila.
83,100090062202300001,202300001,2023-10-20,713,62,1,2,5,29,3,8,2023-10-15 08:20:09,2023-10-15 09:11:09,2023-10-15 10:51:09,13.320042,75.759419,Complainant reported a violent disturbance involving multiple persons near Dave Street.
84,100290186202200001,202200001,2022-02-26,2401,186,1,2,14,73,3,67,2022-02-21 10:53:49,2022-02-21 12:51:49,2022-02-21 22:53:49,16.864246,75.663063,Case registered against the accused for a traffic-related violation near Gandhi Chowk.
85,800280180202400001,202400001,2024-11-03,767,180,4,1,2,9,3,71,2024-10-29 05:29:03,2024-10-29 07:00:03,2024-10-30 06:17:03,14.766072,74.687206,Complainant reported theft of personal property from Wable Road.
86,100080056202500001,202500001,2025-06-29,80,56,1,2,3,17,6,98,2025-06-23 23:17:24,2025-06-24 00:32:24,2025-06-25 01:23:24,13.421135,77.743702,Complainant reported a sexual assault by the accused near Sampath.
87,100250153202600001,202600001,2026-07-07,954,153,1,2,6,37,1,41,2026-07-06 12:38:14,2026-07-06 12:58:14,2026-07-07 02:48:14,13.917166,75.604405,Complainant reported an incident related to counterfeiting near Zacharia Ganj.
88,100030020202600002,202600002,2026-01-31,2870,20,1,2,11,59,3,91,2026-01-28 11:53:54,2026-01-28 13:26:54,2026-01-28 15:04:54,15.879064,74.446452,"Complainant, a senior citizen, reported an incident involving the accused at Muni Ganj."
89,100290186202600001,202600001,2026-11-16,535,186,1,1,10,55,1,88,2026-11-10 16:02:05,2026-11-10 16:35:05,2026-11-10 18:35:05,16.842829,75.710849,Complainant reported an incident related to hit and run near Prakash Marg.
90,100220142202500001,202500001,2025-02-04,1790,142,1,1,13,68,2,125,2025-02-02 16:23:45,2025-02-02 22:07:45,2025-02-03 01:14:45,12.282736,76.668438,Police raided premises being used for illegal gambling at Varughese Chowk.
91,400200127202600001,202600001,2026-10-08,2325,127,3,2,3,22,2,9,2026-10-07 18:46:44,2026-10-07 21:21:44,2026-10-07 22:40:44,15.304813,76.187153,Complainant reported being repeatedly followed and harassed by the accused near Dara Chowk.
92,100050038202600001,202600001,2026-02-24,2840,38,1,2,6,38,5,18,2026-02-18 09:20:10,2026-02-18 14:50:10,2026-02-18 21:31:10,12.926003,77.617568,Complainant reported an incident related to money laundering near Kar Ganj.
93,100100069202400001,202400001,2024-06-06,1849,69,1,1,13,66,6,19,2024-06-02 14:22:34,2024-06-02 17:39:34,2024-06-02 18:47:34,14.265307,76.411269,Police recovered illegal firearms from the accused near Nigam Zila.
94,100250158202200001,202200001,2022-05-29,2488,158,1,1,1,5,6,112,2022-05-28 22:35:57,2022-05-28 23:27:57,2022-05-29 00:07:57,13.917491,75.560174,Complainant reported being assaulted and sustaining injuries during an altercation near Karpe Nagar.
95,100050032202500001,202500001,2025-09-24,359,32,1,1,2,14,5,76,2025-09-19 16:19:15,2025-09-19 17:13:15,2025-09-19 17:56:15,12.916807,77.588494,Complainant reported an incident related to mischief near Kannan.
96,100260162202300001,202300001,2023-08-03,1079,162,1,1,11,61,3,113,2023-08-02 15:25:30,2023-08-02 19:40:30,2023-08-03 01:16:30,13.351337,77.146025,Complainant reported an incident related to neglect of senior citizens near Bobal Nagar.
97,100140092202500001,202500001,2025-02-22,2346,92,1,1,4,26,4,61,2025-02-16 13:37:14,2025-02-16 18:25:14,2025-02-17 00:36:14,15.408128,75.635198,Complainant reported an offence involving a minor near Karnik Nagar.
98,300140093202400001,202400001,2024-11-26,2570,93,2,2,2,15,1,38,2024-11-25 17:48:28,2024-11-25 19:21:28,2024-11-26 01:35:28,15.423405,75.628139,Complainant reported being cheated of money through false promises near Balay Zila.
99,300260163202200001,202200001,2022-05-13,2321,163,2,2,5,31,5,26,2022-05-08 16:33:29,2022-05-09 00:27:29,2022-05-09 12:39:29,13.365232,77.098414,Complainant reported an incident related to affray near Bobal Path.
100,100290182202600001,202600001,2026-11-09,1358,182,1,2,10,54,1,61,2026-11-05 14:30:02,2026-11-05 16:03:02,2026-11-05 18:20:02,16.865021,75.714548,Complainant reported an incident caused by rash or negligent driving near Khanna Circle.
101,100020011202500001,202500001,2025-04-09,1985,11,1,1,8,48,2,133,2025-04-06 15:14:08,2025-04-06 17:52:08,2025-04-06 21:09:08,15.166297,76.879599,Police recovered narcotic substances from the accused during a check near Sunder Road.
102,100270170202300001,202300001,2023-07-05,1626,170,1,1,14,70,6,32,2023-07-04 16:56:53,2023-07-04 18:43:53,2023-07-05 21:50:53,13.29345,74.747183,Case registered against the accused for a traffic-related violation near Zacharia Ganj.
103,100210135202600001,202600001,2026-06-20,1103,135,1,2,4,26,1,105,2026-06-16 13:57:16,2026-06-16 20:25:16,2026-06-20 07:31:16,12.506804,76.922824,Complainant reported an offence involving a minor near Solanki Street.
104,100150101202200001,202200001,2022-10-08,2133,101,1,1,14,70,2,102,2022-09-30 12:45:41,2022-09-30 15:10:41,2022-10-01 16:17:41,12.9997,76.115785,Case registered against the accused for a traffic-related violation near Solanki Ganj.
105,100170115202300001,202300001,2023-09-16,3136,115,1,2,1,6,6,62,2023-09-10 09:40:20,2023-09-10 17:06:20,2023-09-10 17:40:20,17.301013,76.792131,Complainant reported that the victim was forcibly taken away by the accused from Gupta Marg.
106,100280177202500001,202500001,2025-08-10,1949,177,1,2,13,69,1,92,2025-08-06 12:47:02,2025-08-06 17:50:02,2025-08-07 00:30:02,14.812373,74.708925,Complainant reported an incident related to prohibition act violations near Chatterjee Zila.
107,100150100202200001,202200001,2022-02-05,1523,100,1,2,14,71,6,67,2022-01-30 12:57:21,2022-01-30 18:37:21,2022-01-31 02:27:21,12.978034,76.093825,Case registered against the accused for a traffic-related violation near Pandya Marg.
108,100170115202400001,202400001,2024-12-03,1677,115,1,2,8,46,6,118,2024-11-28 15:55:43,2024-11-28 19:15:43,2024-11-28 23:32:43,17.280791,76.787992,Police recovered narcotic substances from the accused during a check near Roy Marg.
109,100040030202500001,202500001,2025-03-21,1759,30,1,2,14,71,3,104,2025-03-20 08:13:48,2025-03-20 14:54:48,2025-03-21 02:50:48,13.211113,77.568333,Case registered against the accused for a traffic-related violation near Bhagat Chowk.
110,100130085202500001,202500001,2025-12-29,1254,85,1,2,8,49,2,43,2025-12-22 13:00:40,2025-12-22 19:20:40,2025-12-22 21:26:40,15.462643,75.05644,Police recovered narcotic substances from the accused during a check near Bhat Zila.
111,300020014202400001,202400001,2024-07-14,693,14,2,2,1,5,6,32,2024-07-10 00:57:31,2024-07-10 04:05:31,2024-07-10 04:11:31,15.109965,76.948045,Complainant reported being assaulted and sustaining injuries during an altercation near Nori Marg.
112,100110074202500001,202500001,2025-08-20,2848,74,1,2,11,59,1,3,2025-08-15 08:01:03,2025-08-15 13:59:03,2025-08-15 15:13:03,12.86608,74.829289,"Complainant, a senior citizen, reported an incident involving the accused at Kothari Zila."
113,100090059202500001,202500001,2025-02-27,1679,59,1,1,11,59,2,76,2025-02-25 09:50:06,2025-02-25 14:09:06,2025-02-25 15:56:06,13.346152,75.749777,"Complainant, a senior citizen, reported an incident involving the accused at Gupta Ganj."
114,300050033202400001,202400001,2024-03-01,1049,33,2,2,9,53,6,60,2024-02-25 18:53:36,2024-02-26 00:40:36,2024-02-26 04:36:36,13.009606,77.538878,Complainant reported an incident related to waging war against the state near Sen Circle.
115,100140090202200001,202200001,2022-01-10,1099,90,1,1,5,31,2,24,2022-01-06 13:07:06,2022-01-06 20:27:06,2022-01-07 07:26:06,15.470761,75.659833,Complainant reported an incident related to affray near Sami Street.
116,100110076202400001,202400001,2024-11-23,1978,76,1,2,6,35,6,113,2024-11-15 15:51:10,2024-11-15 16:53:10,2024-11-15 18:14:10,12.812664,74.8734,Complainant reported an incident related to criminal breach of trust near Mallick Street.
117,100050038202600002,202600002,2026-09-29,3144,38,1,2,7,42,1,58,2026-09-20 10:07:56,2026-09-20 13:42:56,2026-09-20 17:11:56,13.012018,77.580511,Complainant reported an incident related to hacking near Krish Chowk.
118,100310191202500001,202500001,2025-06-24,2071,191,1,2,11,60,6,121,2025-06-18 07:43:41,2025-06-18 11:05:41,2025-06-18 15:57:41,15.263855,76.404663,Complainant reported being defrauded of money through a fraudulent scheme reported from Savant Zila.
119,100260167202300002,202300002,2023-12-02,1295,167,1,2,14,71,6,31,2023-11-30 16:24:25,2023-11-30 23:27:25,2023-12-01 14:37:25,13.308297,77.062645,Case registered against the accused for a traffic-related violation near Chaudhari Circle.
120,100310191202400001,202400001,2024-01-03,1360,191,1,2,12,62,3,122,2023-12-31 17:35:13,2023-12-31 23:15:13,2024-01-01 05:17:13,15.279954,76.402862,Complainant reported defamatory statements made by the accused.
121,100220142202500002,202500002,2025-01-12,769,142,1,1,6,39,2,31,2025-01-09 20:23:44,2025-01-09 21:22:44,2025-01-09 23:40:44,12.288096,76.668901,Complainant reported being defrauded of money through a fraudulent scheme reported from Chander Nagar.
